,:@computed_region_43an_4dx5,:@computed_region_9yqb_tdyd,_95_ci,county_code,county_name,data_comments,data_sources,data_years,denominator,denominator_note,indicator,indicator_number,location,mapping_distribution,measure_unit,percentage_rate,quartile,region_name,total_event_counts
18,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,54.3,,Western New York,2506
19,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,45.9,,Finger Lakes,1749
20,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,45.7,,Central New York,1974
21,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,55.4,,New York-Penn,497
22,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,41.8,,Northeastern New York,1878
23,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,30.1,,Hudson Valley,2070
24,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,19.7,,New York City,4881
25,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,29.7,,Nassau-Suffolk,2541
26,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Cerebrovascular disease (stroke) mortality rate per 100,000",d13,,,Rate,31.0,,New York State,18096
27,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,39.7,,Western New York,2506
28,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,36.5,,Finger Lakes,1749
29,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,37.2,,Central New York,1974
30,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,38.8,,New York-Penn,497
31,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,32.6,,Northeastern New York,1878
32,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,25.9,,Hudson Valley,2070
33,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,19.3,,New York City,4881
34,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,24.0,,Nassau-Suffolk,2541
35,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",d13a,,,Rate,26.9,,New York State,18096
36,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,9.8,,Western New York,451
37,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,8.1,,Finger Lakes,310
38,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,10.2,,New York-Penn,113
39,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,8.8,,Central New York,381
40,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,12.6,,New York-Penn,113
41,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,10.5,,Northeastern New York,472
42,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,6.5,,Hudson Valley,446
43,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,6.0,,New York City,1489
44,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,6.0,,Nassau-Suffolk,515
45,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Cirrhosis mortality rate per 100,000",d21,,,Rate,7.2,,New York State,4177
46,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,8.0,,Western New York,451
47,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,6.8,,Finger Lakes,310
48,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,7.8,,Central New York,381
49,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,8.7,,Northeastern New York,472
50,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,5.6,,Hudson Valley,446
51,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,5.8,,New York City,1489
52,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,5.0,,Nassau-Suffolk,515
53,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,,Rate,6.4,,New York State,4177
54,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,27.5,,Western New York,1269
55,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,17.0,,Finger Lakes,649
56,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,19.7,,Central New York,851
57,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,27.8,,New York-Penn,250
58,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,21.4,,Northeastern New York,962
59,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,14.1,,Hudson Valley,972
60,,,,61,Queens,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2261761,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,1,Rate,268.8,0 - < 296.3 : Q1 & Q2,New York City,18237
61,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,20.4,,New York City,5062
62,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,14.0,,Nassau-Suffolk,1196
63,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Diabetes mortality rate per 100,000",d22,,,Rate,19.2,,New York State,11211
64,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,21.4,,Western New York,1269
65,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,14.1,,Finger Lakes,649
66,,,,62,Richmond,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,476976,Average annual population,"Diabetes mortality rate per 100,000",d22,,2,Rate,22.3,20.4 - < 26.5 : Q3,New York City,319
67,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,16.7,,Central New York,851
68,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,20.5,,New York-Penn,250
69,,,,51,Ulster,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,182127,Average annual population,"Diabetes mortality rate per 100,000",d22,,1,Rate,20.3,0 - < 20.4 : Q1 & Q2,Hudson Valley,111
70,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,17.2,,Northeastern New York,962
71,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,12.4,,Hudson Valley,972
72,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,20.1,,New York City,5062
73,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,11.6,,Nassau-Suffolk,1196
74,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Age-adjusted diabetes mortality rate per 100,000",d22a,,,Rate,17.0,,New York State,11211
75,,,(6.4-8.7),999,New York State,,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,2008-2009,,,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",g22,,,Percentage,7.6,,New York State,
76,,,,27,Montgomery,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,49584,Average annual population,"Age-adjusted cirrhosis mortality rate per 100,000",d21a,,3,Rate,9.5,9.0 + : Q4,Northeastern New York,16
77,,,(7.8-10.3),999,New York State,,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,2008-2009,,,Age-adjusted percentage of adults with physician diagnosed diabetes,g29,,,Percentage,9.0,,New York State,
78,,,,102,Finger Lakes,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,16.3,,Finger Lakes,
79,,,,101,Western New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,9204,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,24.5,,Western New York,6754
80,,,,102,Finger Lakes,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,7068,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,24.2,,Finger Lakes,5130
81,,,,103,Central New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,9545,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,24.1,,Central New York,6901
82,,,,104,New York-Penn,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,2325,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,22.3,,New York-Penn,1553
83,,,,105,Northeastern New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,8119,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,24.1,,Northeastern New York,5862
84,,,,106,Hudson Valley,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,13063,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,28.7,,Hudson Valley,11243
85,,,,107,New York City,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,80069,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,26.7,,New York City,64244
86,,,,108,Nassau-Suffolk,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,10816,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,31.0,,Nassau-Suffolk,10046
87,,,,999,New York State,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,140209,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),g56,,,Rate,26.6,,New York State,111733
88,,,,101,Western New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,9204,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,30.2,,Western New York,8350
89,,,,102,Finger Lakes,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,7068,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,31.5,,Finger Lakes,6683
90,,,,103,Central New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,9545,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,29.4,,Central New York,8431
91,,,,102,Finger Lakes,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,,,Percentage,18.0,,Finger Lakes,
92,,,,104,New York-Penn,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,2325,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,32.9,,New York-Penn,2298
93,,,,105,Northeastern New York,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,8119,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,31.1,,Northeastern New York,7565
94,,,,106,Hudson Valley,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,13063,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,23.8,,Hudson Valley,9322
95,,,,107,New York City,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,80069,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,21.4,,New York City,51499
96,,,,108,Nassau-Suffolk,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,10816,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,24.1,,Nassau-Suffolk,7829
97,,,,999,New York State,,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",2010-2012,140209,Average annual population,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),g57,,,Rate,24.2,,New York State,101977
98,,,,101,Western New York,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,5572,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,14.9,,Western New York,2489
99,,,,102,Finger Lakes,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,4439,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,18.7,,Finger Lakes,2496
100,,,,103,Central New York,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,6251,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,18.4,,Central New York,3455
101,,,,104,New York-Penn,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,1479,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,19.3,,New York-Penn,855
102,,,,105,Northeastern New York,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,5122,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,18.2,,Northeastern New York,2796
103,,,,106,Hudson Valley,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,8588,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,48.9,,Hudson Valley,12610
104,,,,107,New York City,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,49518,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,46.2,,New York City,68669
105,,,,108,Nassau-Suffolk,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,6105,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,36.6,,Nassau-Suffolk,6694
106,,,,999,New York State,,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",2009-2011,87079,Average annual population,Percentage of WIC mothers breastfeeding at least 6 months,g62,,,Percentage,38.3,,New York State,100054
107,,,,101,Western New York,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,15.8,,Western New York,
108,,,,51,Ulster,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,182127,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,1,Rate,278.2,0 - < 296.3 : Q1 & Q2,Hudson Valley,1520
109,,,,103,Central New York,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,17.0,,Central New York,
110,,,,104,New York-Penn,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,16.4,,New York-Penn,
111,,,,105,Northeastern New York,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,16.1,,Northeastern New York,
112,,,,106,Hudson Valley,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,15.8,,Hudson Valley,
113,,,,108,Nassau-Suffolk,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,16.1,,Nassau-Suffolk,
114,,,,888,New York State (excludin,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",g63,,,Percentage,16.2,,New York State,
115,,,,101,Western New York,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,,,Percentage,18.0,,Western New York,
116,,,,103,Central New York,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,,,Percentage,19.2,,Central New York,
117,450,630,,49,Tioga,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,"{'type': 'Point', 'coordinates': [-76.29595, 42.120252]}",1,Percentage,18.1,0 - < 18.9 : Q1 & Q2,New York-Penn,
118,,,,104,New York-Penn,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,,,Percentage,19.1,,New York-Penn,
119,40,2030,,1,Albany,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,"{'type': 'Point', 'coordinates': [-73.814233, 42.678066]}",1,Percentage,17.9,0 - < 18.9 : Q1 & Q2,Northeastern New York,
120,202,2038,,9,Clinton,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,"{'type': 'Point', 'coordinates': [-73.548883, 44.731944]}",3,Percentage,20.6,20.4 + : Q4,Northeastern New York,
121,977,619,,10,Columbia,,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",2010-2012,,,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",g64,"{'type': 'Point', 'coordinates': [-73.682168, 42.276913]}",2,Percentage,19.1,18.9 - < 20.4 : Q3,Northeastern New York,
